Chip 4725.325081
line1: 10.000+10.000i,10.000+78.741i
line2: 10.000+78.741i,78.741+78.741i
line3: 78.741+78.741i,78.741+10.000i
line4: 78.741+10.000i,10.000+10.000i
chipo1 1.023995
line1: 34.520+46.553i,46.567+46.553i
line2: 46.567+46.553i,46.567+46.638i
line3: 46.567+46.638i,34.520+46.638i
line4: 34.520+46.638i,34.520+46.553i
chipo2 1.289025
line1: 31.402+46.270i,46.567+46.270i
line2: 46.567+46.270i,46.567+46.355i
line3: 46.567+46.355i,31.402+46.355i
line4: 31.402+46.355i,31.402+46.270i
chipo3 0.758965
line1: 37.638+45.986i,46.567+45.986i
line2: 46.567+45.986i,46.567+46.071i
line3: 46.567+46.071i,37.638+46.071i
line4: 37.638+46.071i,37.638+45.986i
chipo4 0.493935
line1: 40.756+45.703i,46.567+45.703i
line2: 46.567+45.703i,46.567+45.788i
line3: 46.567+45.788i,40.756+45.788i
line4: 40.756+45.788i,40.756+45.703i
chipo5 45.285450
line1: 10.000+57.878i,35.370+57.878i
line2: 35.370+57.878i,35.370+59.663i
line3: 35.370+59.663i,10.000+59.663i
line4: 10.000+59.663i,10.000+57.878i
chipo6 9.813675
line1: 34.520+46.511i,35.370+46.511i
line2: 35.370+46.511i,35.370+58.056i
line3: 35.370+58.056i,34.520+58.056i
line4: 34.520+58.056i,34.520+46.511i
chipo7 39.719820
line1: 10.000+50.678i,32.252+50.678i
line2: 32.252+50.678i,32.252+52.463i
line3: 32.252+52.463i,10.000+52.463i
line4: 10.000+52.463i,10.000+50.678i
chipo8 3.935075
line1: 31.402+46.227i,32.252+46.227i
line2: 32.252+46.227i,32.252+50.856i
line3: 32.252+50.856i,31.402+50.856i
line4: 31.402+50.856i,31.402+46.227i
chipo9 50.879568
line1: 10.000+25.477i,38.488+25.477i
line2: 38.488+25.477i,38.488+27.263i
line3: 38.488+27.263i,10.000+27.263i
line4: 10.000+27.263i,10.000+25.477i
chipo10 16.175160
line1: 37.638+27.084i,38.488+27.084i
line2: 38.488+27.084i,38.488+46.114i
line3: 38.488+46.114i,37.638+46.114i
line4: 37.638+46.114i,37.638+27.084i
chipo11 56.450102
line1: 10.000+18.277i,41.607+18.277i
line2: 41.607+18.277i,41.607+20.063i
line3: 41.607+20.063i,10.000+20.063i
line4: 10.000+20.063i,10.000+18.277i
chipo12 22.079706
line1: 40.756+19.884i,41.607+19.884i
line2: 41.607+19.884i,41.607+45.830i
line3: 41.607+45.830i,40.756+45.830i
line4: 40.756+45.830i,40.756+19.884i
